article	aid	url	img	iid	hashvalue	title	text	nImpressions	nRecs	nClicks	imgFile
509005634	118171	https://www.ksta.de/panorama/selbstgebauter-knaller--mann-wird-durch-boeller-schwer-an-der-hand-verletzt-31811448	https://www.ksta.de/image/31811446/2x1/300/150/c816ac031a5a0b3add7d47a3813aec62/rC/knaller-symbolbild-010119.jpg	118805		Mann wird durch Böller schwer an der Hand verletzt	In der Nähe von Celle ist ein 38-jähriger Mann am Montagabend durch einen Knaller schwerst verletzt worden. Gegen 19 Uhr soll der Böller dem Mann in Winsen/Aller die Hand nahezu weggesprengt haben, wie die „Bild“ berichtet.Eine 54-Jähriger, der sich in de	14	0	0	31811446c816ac031a5a0b3add7d47a3813aec62rC.jpg
509006281	118172	https://www.ksta.de/wirtschaft/neuanfang-im-job-wie-der-koelner-daniel-opoku-sein-altes-leben-hinter-sich-liess-31808270	https://www.ksta.de/image/31808308/2x1/300/150/85ee043d58cd779d33cca388888e6b57/vZ/daniel-opoku.jpg	118806		Wie der Kölner Daniel Opoku sein altes Leben hinter sich ließ	Daniel Opoku, Outdoor-Kleidung, schlanke Statur, fester Händedruck, offenes Lächeln, Laptop im Rucksack – genauso stellt man sich einen Start-up-Unternehmer vor, der jedes W-Lan-fähige Café zum Arbeiten nutzt. Tatsächlich tauschte Opoku sein Leben im Busi	1249	0	0	3180830885ee043d58cd779d33cca388888e6b57vZ.jpg
509006327	118173	https://www.ksta.de/wirtschaft/interview-ueber-jobwechsel--wer-auf-dauer-im-beruf-ungluecklich-ist--riskiert-einiges--31808350	https://www.ksta.de/image/31808358/2x1/300/150/806096e3c65a13dcfd59cde588e7eb0a/uc/buerojob.jpg	118807		„Wer auf Dauer im Beruf unglücklich ist, riskiert einiges“	Herr Conen, gibt es so etwas wie ein „Navi“ für den Neuanfang?Horst Conen: Ja, schon. Wir starten es, indem wir unsere aktuelle Situation in Frage stellen und uns fragen: „Wo stehe ich jetzt, wo will ich noch hin und wie kann ich das erreichen?“ Sich dies	36	0	0	31808358806096e3c65a13dcfd59cde588e7eb0auc.jpg
509006329	118174	https://www.ksta.de/panorama/panne-bei-feuerwerk-sydneys-feuerwerks-meister-unterlaeuft-peinlicher-fehler-31811506	https://www.ksta.de/image/31811494/2x1/300/150/cf18c73a2fa30f16a949044c88b9be/Zx/silvester-sidney-ap-neu.jpg	118808		Sydneys Feuerwerks-Meister unterläuft peinlicher Fehler	Australiens Metropole Sydney hat das neue Jahr wieder mit einem spektakulären Feuerwerk begrüßt - mit einem kleinen Schönheitsfehler: Die Organisatoren haben sich im Jahr geirrt. Auf einen der Pfeiler der Hafenbrücke ließen sie während des Feuerwerks die	35	0	0	31811494cf18c73a2fa30f16a949044c88b9beZx.jpg
509007066	118175	https://www.ksta.de/politik/us-sanktionen-kim-jong-un-droht-mit-abkehr-vom-annaeherungskurs-31811530	https://www.ksta.de/image/31811554/2x1/300/150/29c50be85cf894763325d201ab241bc6/oS/kim-jong-un-bei-rede-010119.jpg	118809		Kim Jong Un droht mit Abkehr vom Annäherungskurs	Nordkoreas Machthaber Kim Jong Un droht im Streit um das Atomwaffenprogramm seines Landes mit einer Abkehr vom Annäherungskurs, falls die USA an ihren Sanktionen festhalten. In seiner Neujahrsansprache bekräftigte Kim am Dienstag zwar die Absicht zur atom	17	0	0	3181155429c50be85cf894763325d201ab241bc6oS.jpg
509011300	118176	https://www.ksta.de/koeln/blaeck-foeoess-in-der-lanxess-arena-ueber-13-000-fans-verabschieden-bassist-hartmut-priess-31811684	https://www.ksta.de/image/31811674/2x1/300/150/5ac80962a6e6ef67f9f5cd84caae34eb/Fh/foess-silvester-decker.jpg	118810		Über 13.000 Fans verabschieden Bassist Hartmut Priess	Es wird in die Geschichtsbücher kölscher Musik eingehen. Mit ihrem 20. und gleichzeitig letzten Silvesterkonzert ging für die Bläck Fööss und Tausende ihrer Fans am Montagabend in der Lanxess Arena eine Ära zu Ende. Was 1999 mit dem Millennium-Konzert der	204	0	0	318116745ac80962a6e6ef67f9f5cd84caae34ebFh.jpg
509012248	118178	https://www.ksta.de/panorama/terror-in-tokio--mann-rast-mit-auto-in-menschenmenge-31811728	https://www.ksta.de/image/31811720/2x1/300/150/f6707a3c6eaefee7047f2a740b4a5916/ry/tokio-dpa-unfall.jpg	118812		Mann rast mit Auto in Menschenmenge	In der japanischen Millionenmetropole Tokio hat ein Autofahrer in einer belebten Einkaufszone Medienberichten zufolge mindestens neun Fußgänger gerammt und verletzt. Der Fahrer des Wagens sei festgenommen worden und habe der Polizei selbst gesagt, dass er	12	0	0	31811720f6707a3c6eaefee7047f2a740b4a5916ry.jpg
509014255	118179	https://www.ksta.de/panorama/in-lebensgefahr-zwei-maenner-durch-selbstgebaute-boeller-schwer-verletzt-31811762	https://www.ksta.de/image/31811756/2x1/300/150/45fbb1d23a0cdeb7094a40189453966b/Hm/boeller-dpa-neu.jpg	118813		Zwei Männer durch selbstgebaute Böller schwer verletzt	Mit offenbar selbstgebasteltem Feuerwerk haben sich zwei Männer in Essen lebensgefährliche Verletzungen zugefügt. Die 31 und 33 Jahre alten Männer hätten auf einem Schulhof mit den Feuerwerkskörpern hantiert, teilte die Polizei in der Ruhrgebietsstadt am	142	11657	48	3181175645fbb1d23a0cdeb7094a40189453966bHm.jpg
509014608	118180	https://www.ksta.de/region/wohnungbrand-silvesterfeier-mit-betrunkenem-gastgeber-eskaliert-31811780	https://www.ksta.de/image/31811766/2x1/300/150/f05b3775b4a517e191cf8d2e76d5ab0b/YG/feuerwehr-dpa-symbol-010119.jpg	118814		Silvesterfeier mit betrunkenem Gastgeber eskaliert	Eine kleine Silvesterfeier in Stolberg bei Aachen hat noch vor Mitternacht wegen eines Wohnungsbrandes ein jähes Ende genommen. Am Montagabend war in einem Mehrfamilienhaus ein Brand gemeldet worden, wie die Polizei am Abend mitteilte.Als die Beamten, die	49	5048	17	31811766f05b3775b4a517e191cf8d2e76d5ab0bYG.jpg
509017858	118182	https://www.ksta.de/region/leverkusen/stadt-leverkusen/politischer-rueckblick-in-opladen-waechst-die-bahnstadt---autobahn-bleibt-dauerthema-31803694	https://www.ksta.de/image/31803690/2x1/300/150/f953ca466b5024b1607ddc59fdbdd73c/vF/opladen-bahnhof-aufzug.jpg	118816		In Opladen wächst die Bahnstadt – Autobahn bleibt Dauerthema	Wer auf dieses Jahr in Leverkusen zurückblickt, dem fallen drei Bereiche auf, in denen sich sichtbar etwas getan hat: Die Autobahnbaustelle am Kreuz Leverkusen-West, der östliche Chempark mit den Bauarbeiten für die neue Covestro-Zentrale und jenseits der	116	1	0	31803690f953ca466b5024b1607ddc59fdbdd73cvF.jpg
