img_id	img_url	title	eng_title
118805.jpg	knaller-symbolbild-010119.jpg	Mann wird durch Böller schwer an der Hand verletzt	Man is heavily injured by Böller's hand
118806.jpg	daniel-opoku.jpg	Wie der Kölner Daniel Opoku sein altes Leben hinter sich ließ	As the Cologne Daniel Opoku left his old life behind
118807.jpg	buerojob.jpg	„Wer auf Dauer im Beruf unglücklich ist	"Who is unhappy in the course of a long time, risks a lot"
118808.jpg	silvester-sidney-ap-neu.jpg	Sydneys Feuerwerks-Meister unterläuft peinlicher Fehler	Sydney's Fireworks Master underscores embarrassing mistakes
118809.jpg	kim-jong-un-bei-rede-010119.jpg	Kim Jong Un droht mit Abkehr vom Annäherungskurs	Kim Jong un threatens with departure from the approximation course
118810.jpg	foess-silvester-decker.jpg	Über 13.000 Fans verabschieden Bassist Hartmut Priess	Over 13,000 fans say goodbye Bassist Hartmut Priess
118812.jpg	tokio-dpa-unfall.jpg	Mann rast mit Auto in Menschenmenge	Man resting with car in crowd
118813.jpg	boeller-dpa-neu.jpg	Zwei Männer durch selbstgebaute Böller schwer verletzt	Two men seriously injured by self-built Böller
118814.jpg	feuerwehr-dpa-symbol-010119.jpg	Silvesterfeier mit betrunkenem Gastgeber eskaliert	New Year's Eve celebration with drunk host escalated
118816.jpg	opladen-bahnhof-aufzug.jpg	In Opladen wächst die Bahnstadt – Autobahn bleibt Dauerthema	In Opladen the train city - highway remains permanent topic
118817.jpg	rennes-afp-neu.jpg	Acht Menschen sitzen in 50 Meter Höhe in Karussell fest	Eight people sit in 50 meters high in carousel
118818.jpg	bahnuebergang-symbolbild-dpa.jpg	Mann stirbt am Neujahrsmorgen an Bahnübergang	Man dies at the New Year morning at railroad crossing
118819.jpg	pool-billard-weltmeister-281218.jpg	Sankt Augustiner ist jüngster Weltmeister im Billardsport	Sankt Augustiner is the youngest world champion in billard sports
118820.jpg	duerscheid-dorfplatz-271218.jpg	Förderagentur Leader will Dürscheid helfen – Infotreffen Ende Januar	Funding agency Leader wants to help shelter - Info meeting at the end of January
118821.jpg	veranstaltungskalender-2019-nationalpark-eifel-2.jpg	Diese Veranstaltungen erwarten Gäste im Nationalpark Eifel	These events await guests in the National Park Eifel
