particleID	iid1	iid2	iid3	iid4	iid5	iid6	iid7	iid8	iid9	iid10	iid11	iid12	iid13	iid14	iid15	iid16	iid17	iid18	iid19	iid20	iid21	iid22	iid23	iid24	iid25	iid26	iid27	iid28	iid29	iid30	iid31	iid32	iid33	iid34	iid35	iid36	iid37	iid38	iid39	iid40	iid41	iid42	iid43	iid44	iid45	iid46	iid47	iid48	iid49	iid50	iid51	iid52	iid53	iid54	iid55	iid56	iid57	iid58	iid59	iid60	iid61	iid62	iid63	iid64	iid65	iid66	iid67	iid68	iid69	iid70	iid71	iid72	iid73	iid74	iid75	iid76	iid77	iid78	iid79	iid80	iid81	iid82	iid83	iid84	iid85	iid86	iid87	iid88	iid89	iid90	iid91	iid92	iid93	iid94	iid95	iid96	iid97	iid98	iid99	iid100
1000265260	134746	134710	135977	134622	134853	136039	136139	136193	134762	136048	136252	136353	136384	136556	135641	136243	134615	136637	135046	135655	134707	134905	135230	136375	136561	136451	135452	135868	136622	136546	135759	135560	136170	134808	136604	135874	134474	135686	135861	136078	135796	134367	135428	136407	136980	134133	134259	134286	134711	135049	135989	136021	136660	136755	136768	136793	134775	136651	134942	136137	136890	134440	134716	135652	136178	136331	134597	134156	134214	134756	135070	135414	135415	135527	135908	135973	136270	135394	135405	136227	136000	134166	135268	136008	136917	135826	135127	135692	136210	136022	134315	134322	134510	135693	134997	135109	135698	134633	136319	134726
1001935289	135908	135628	134775	136331	134390	136306	134381	134409	134909	134908	135070	135148	135305	135362	135578	135720	135755	135851	135989	136136	136178	137083	136574	136710	135635	135909	135231	134863	135116	136771	134617	136802	136236	135881	135090	136625	134632	136022	136418	135739	136692	135773	135907	135715	136842	136131	136819	134631	135828	134887	136079	136184	135876	136001	136423	134814	134180	135872	134451	134291	136412	136326	136436	134417	136641	134351	134702	136498	134580	135011	135387	136350	136866	134210	135398	136000	136124	136409	136529	135807	136533	134358	136448	136114	136576	136579	134422	136202	135592	134855	136045	136458	136137	134266	134868	135007	135435	136062	136172	136179
1002375244	136277	134791	136639	134624	134416	135315	135770	136169	136530	136803	134967	135714	135003	136327	135876	134180	135872	136104	134415	136883	134268	136628	134976	135672	134765	135739	136692	135766	134582	135995	135473	134580	135011	135387	136350	136866	135941	135566	136577	135951	134709	136346	136012	134987	135817	135819	134125	134303	134701	134721	135050	135646	135936	135945	136496	134146	136226	135748	136033	136116	134616	136036	136285	136288	136411	135571	134631	135828	135087	135986	134974	134312	134359	134426	134468	134563	134673	134715	134769	134772	134821	134972	135042	135101	135136	135139	135168	135245	135297	135306	135374	135406	135453	135626	135924	135952	136016	136106	136168	136189
1002735288	136819	136242	134962	134606	136361	134390	134123	134231	134332	134597	134626	134734	134831	134973	134963	134990	135173	135226	135357	135405	135467	135733	135930	135949	136081	136090	136252	136353	136414	136556	136584	136712	135868	136193	136036	135876	135231	136639	136322	135566	135329	134262	134252	136587	135176	134967	135759	136822	135390	135844	136116	136664	135727	134180	135872	136104	136223	135736	135986	136152	135315	135770	136169	136530	136803	136939	135941	134803	136236	135885	136568	135473	134789	135689	134314	134620	135395	136407	136083	136063	135709	134268	135127	136937	136577	136883	134707	134905	135230	136375	136561	134322	136431	134502	134709	136243	134149	134162	134733	134788
1002835245	135405	136751	134806	135863	136083	135390	136320	136390	134853	135965	135888	134186	134402	134538	136409	134763	134780	135002	135229	135542	135692	135758	135896	136016	136021	136081	136082	136139	136171	136152	136210	136177	136425	136491	136610	136689	136710	137182	134709	136222	134328	134993	135315	135770	136169	136530	136803	136940	135489	134967	136036	135766	136116	134397	135933	134252	135583	135681	134568	134532	135727	134415	134624	135439	134262	135329	134974	135571	136883	136631	136587	135028	136346	135566	135941	135714	136937	135819	135176	134976	135672	136316	136549	136183	135808	134502	136568	136207	134416	135759	135534	135709	134206	136624	136931	136639	136288	134634	134627	135606
1003015243	134629	135839	136012	136240	136490	136939	136223	135176	134252	135727	135489	134314	134620	135759	136322	136444	135851	136005	136595	135127	134380	136822	134262	134322	134540	135736	135977	136083	134527	136104	136568	136227	136193	134967	135618	136981	134431	134505	135819	135941	135853	135868	136431	135808	134319	135303	135564	136515	136551	135473	134707	134905	135230	136375	136561	136439	136313	135450	136832	136624	136931	136078	136407	134288	134587	135684	135028	134974	135986	135183	135391	134866	136527	135216	134532	136549	135018	136394	135556	134789	135874	134510	135693	136116	135141	134930	134503	134997	135109	135698	134615	136637	135933	136173	136466	136775	134627	135606	136099	134568
1003185292	136562	136296	136227	136347	134774	135981	134749	135663	135887	136377	134866	136775	134714	136532	134627	135606	136099	136669	134285	135305	134341	135745	135405	135150	135819	134127	135089	135972	136294	136436	136627	134777	135344	135906	136327	136104	135134	134989	136479	136003	136552	134739	135685	135788	134336	134330	135489	134523	135473	136391	136783	135768	134624	134276	136701	134532	135183	135391	135705	135778	135714	136819	134176	136439	134179	135393	134499	135937	136832	136823	135868	134183	135729	136513	135087	135257	134414	135969	135684	135807	136533	136012	136367	135743	134380	136007	136122	134147	134568	136033	134946	134930	135855	135815	134351	135995	134582	136689	136219	134458
1003435246	134159	135328	135566	136303	136787	134206	136096	136171	135450	135571	136671	136628	136664	135714	135231	136242	136448	135628	134997	135109	135698	134726	136527	136645	134288	134587	134633	136679	135819	135688	135750	136489	136002	136751	135808	136183	136152	136546	135918	135987	135876	136918	134510	135693	135429	136577	136208	135583	135681	134855	136262	134322	136604	134703	134583	136078	135036	135556	135091	136593	134617	136802	135881	135658	135028	134133	134505	135141	134930	134568	136293	134616	134627	135606	136099	135489	134799	136611	134605	134223	136780	134967	134592	135154	135416	135657	135845	135993	136089	136180	136289	136591	136699	135481	134384	134929	135343	135661	136411	136925
1003715259	136122	134399	135237	135782	135818	135878	135909	136055	136368	136404	137184	136911	134214	134756	135070	135414	135415	135527	135908	135973	136270	134502	136236	134633	135868	136136	136159	136193	135231	134962	135511	135578	135822	136075	136709	135244	134288	134587	134505	136736	134635	136221	136431	135452	136285	136083	135808	134262	134746	136170	135863	134710	134535	134222	134695	134990	135985	136410	136137	135684	135990	135731	135390	135844	136104	136005	136595	136128	134180	135872	134276	135229	136475	134380	135251	134789	135853	134830	136436	134707	134905	135230	136375	136561	136587	136574	136898	134997	135109	135698	136531	135826	134367	135907	136546	136381	135628	134615	136637	135871
1003875253	134134	134286	134688	134727	134728	135556	136047	135846	136114	136231	136295	136486	136523	135153	135217	136436	136333	134863	135116	134128	134725	134833	135137	135821	136232	136291	137029	134180	135872	135807	136533	136128	135745	136625	136326	135468	135625	136729	134566	134631	135828	135539	135808	135739	136692	135396	136576	136587	134814	135439	134714	136532	136924	134262	134791	136236	136707	134595	136823	135690	136063	134903	134875	134417	135233	135907	135736	134702	136498	136278	135418	136982	135352	136578	134995	135959	134390	135708	135751	135802	135888	136030	136102	136213	136389	136897	136521	136010	136409	136343	136581	136701	137009	134502	135775	136886	136007	136840	134974	134768
